#Ref_name, Sample_ID, Total_reads, Mapped_reads, Mapped_percentage, Avg_depth
Hemicordylus_capensis,RLK034,163031114,25759101,15.800100,1.079489
Homo_sapiens,KLC098,145074719,8360938,5.763100,.2008124
Homo_sapiens,RLK004,151884269,8303637,5.467000,.1858649
Homo_sapiens,RLK019,142681293,7923514,5.553200,.1778711
Homo_sapiens,RLK034,156562488,12008058,7.669800,.3410863
Lacerta_agilis,KLC098,151941495,20199994,13.294500,1.307775
Lacerta_agilis,RLK004,159218823,20914438,13.135600,1.336812
Lacerta_agilis,RLK019,149234144,19295780,12.929800,1.228105
Lacerta_agilis,RLK034,163193189,24203128,14.830900,1.633571
Latimeria_chalumnae,KLC098,144756480,7060883,4.877700,.1709796
Latimeria_chalumnae,RLK004,151525757,7053836,4.655200,.1608857
Latimeria_chalumnae,RLK019,142352751,6578109,4.620900,.1488701
Latimeria_chalumnae,RLK034,156524617,10410748,6.651100,.2705491
Malaclemys_terrapin,KLC098,146788297,11025568,7.511200,.4049628
Malaclemys_terrapin,RLK004,153720227,11190736,7.279900,.3951439
Malaclemys_terrapin,RLK019,144341423,10439470,7.232400,.3641608
Malaclemys_terrapin,RLK034,158159565,14573520,9.214400,.589487
Mus_musculus,KLC098,145745542,9128599,6.263300,.2390424
Mus_musculus,RLK004,152534119,9046546,5.930800,.2233647
Mus_musculus,RLK019,143201132,8488080,5.927300,.2098172
Mus_musculus,RLK034,157064879,12684033,8.075600,.400541
Petromyzon_marinus,KLC098,143338527,3160366,2.204800,.2433523
Petromyzon_marinus,RLK004,149968645,3068678,2.046200,.2086649
Petromyzon_marinus,RLK019,140983355,2751410,1.951500,.178984
Petromyzon_marinus,RLK034,155586032,5492642,3.530200,.461961
Podarcis_muralis,KLC098,152137102,20508572,13.480300,1.205205
Podarcis_muralis,RLK004,159454441,21252465,13.328200,1.238011
Podarcis_muralis,RLK019,149467530,19628982,13.132600,1.139473
Podarcis_muralis,RLK034,163427055,24386644,14.922000,1.494216
Podarcis_raffoneae,KLC098,152165342,20756118,13.640500,1.240502
Podarcis_raffoneae,RLK004,159535393,21445069,13.442200,1.257269
Podarcis_raffoneae,RLK019,149526147,19766000,13.219000,1.154450
Podarcis_raffoneae,RLK034,163437839,24745583,15.140600,1.555615
Pristis_pectinata,KLC098,144305620,5939292,4.115700,.1897782
Pristis_pectinata,RLK004,151048188,6217078,4.115900,.178785
Pristis_pectinata,RLK019,141892976,5774226,4.069400,.1603522
Pristis_pectinata,RLK034,155758655,9568302,6.143000,.380844
Python_bivittatus,KLC098,150554283,16792208,11.153500,.905592
Python_bivittatus,RLK004,157712647,17325677,10.985500,.916246
Python_bivittatus,RLK019,147898274,16016957,10.829700,.842653
Python_bivittatus,RLK034,161941806,20458677,12.633300,1.189846
Rana_temporaria,KLC098,145387736,8058818,5.542900,.1380069
Rana_temporaria,RLK004,152192881,8065074,5.299200,.1300877
Rana_temporaria,RLK019,142890510,7440570,5.207100,.1179475
Rana_temporaria,RLK034,156866747,11608122,7.399900,.2330801
Salvator_merianae,KLC098,166317786,67737761,40.727900,4.135047
Salvator_merianae,RLK004,174847779,70880852,40.538600,4.302502
Salvator_merianae,RLK019,163402116,65513845,40.093600,3.970873
Salvator_merianae,RLK034,177236907,74326173,41.936000,4.514858
Sceloporus_undulatus,KLC098,150520271,17994363,11.954700,.877633
Sceloporus_undulatus,RLK004,157759938,18617936,11.801400,.894745
Sceloporus_undulatus,RLK019,147987581,17282824,11.678500,.820609
Sceloporus_undulatus,RLK034,161897429,21399146,13.217700,1.023368
Sphenodon_punctatus,KLC098,147804009,13354115,9.035000,.2365511
Sphenodon_punctatus,RLK004,154882086,13744565,8.874200,.2358157
Sphenodon_punctatus,RLK019,145383839,12841782,8.833000,.220104
Sphenodon_punctatus,RLK034,159487448,16930399,10.615500,.3058669
Stegostoma_fasciatum,KLC098,144200067,6076985,4.214200,.1519582
Stegostoma_fasciatum,RLK004,150955553,6037211,3.999300,.1391228
Stegostoma_fasciatum,RLK019,141834080,5689140,4.011100,.1263845
Stegostoma_fasciatum,RLK034,155706308,9870648,6.339200,.2897436
Tretioscincus_oriximinensis,KLC098,160799681,41672205,25.915600,2.798712
Tretioscincus_oriximinensis,RLK004,168848663,43683414,25.871300,2.929908
Tretioscincus_oriximinensis,RLK019,157992788,40451927,25.603600,2.713246
Tretioscincus_oriximinensis,RLK034,172013966,46880689,27.254000,3.165047
