#sample_ID, Ref_name, merge_status, total_reads, avg_depth, #_of_mapped_reads, mapped_percentage
RLK004,Rana_temporaria,unmerged.bam,130092865,0.11016,7038026,.054100
RLK004,Salvator_merianae,merged.bam,22100016,0.550612,9315626,.421521
KLC098,Salvator_merianae,merged.bam,23377076,0.585827,9878463,.422570
RLK019,Salvator_merianae,merged.bam,23462768,0.567483,9621324,.410067
RLK034,Salvator_merianae,merged.bam,34189845,0.889738,15083612,.441172
RLK034,Salvator_merianae,unmerged.bam,143047062,3.62512,59242561,.414147
RLK019,Salvator_merianae,unmerged.bam,139939348,3.40339,55892521,.399405
KLC098,Salvator_merianae,unmerged.bam,142940710,3.54922,57859298,.404778
RLK004,Salvator_merianae,unmerged.bam,152747763,3.75189,61565226,.403051
RLK004,Sceloporus_undulatus,merged.bam,22100016,0.120605,2332737,.105553
KLC098,Sceloporus_undulatus,merged.bam,23377076,0.131358,2496196,.106779
RLK019,Sceloporus_undulatus,merged.bam,23462768,0.12049,2345520,.099967
RLK034,Sceloporus_undulatus,merged.bam,34189845,0.232138,4488906,.131293
KLC098,Sceloporus_undulatus,unmerged.bam,127143195,0.746275,15498167,.121895
RLK019,Sceloporus_undulatus,unmerged.bam,124524813,0.700119,14937304,.119954
RLK034,Sceloporus_undulatus,unmerged.bam,127707584,0.79123,16910240,.132413
RLK004,Sceloporus_undulatus,unmerged.bam,135659922,0.77414,16285199,.120044
RLK004,Sphenodon_punctatus,merged.bam,22100016,0.0313577,1658158,.075029
KLC098,Sphenodon_punctatus,merged.bam,23377076,0.0349391,1778277,.076069
RLK019,Sphenodon_punctatus,merged.bam,23462768,0.031435,1660170,.070757
RLK034,Sphenodon_punctatus,merged.bam,34189845,0.0738919,3643843,.106576
RLK034,Sphenodon_punctatus,unmerged.bam,125297603,0.231975,13286556,.106039
RLK019,Sphenodon_punctatus,unmerged.bam,121921071,0.188669,11181612,.091711
KLC098,Sphenodon_punctatus,unmerged.bam,124426933,0.201612,11575838,.093033
RLK004,Sphenodon_punctatus,unmerged.bam,132782070,0.204458,12086407,.091024
RLK004,Stegostoma_fasciatum,merged.bam,22100016,0.0229858,787151,.035617
RLK019,Stegostoma_fasciatum,merged.bam,23462768,0.0194535,714029,.030432
KLC098,Stegostoma_fasciatum,merged.bam,23377076,0.0282122,879228,.037610
RLK034,Stegostoma_fasciatum,merged.bam,34189845,0.0895346,2464921,.072095
RLK019,Stegostoma_fasciatum,unmerged.bam,118371312,0.106931,4975111,.042029
RLK034,Stegostoma_fasciatum,unmerged.bam,121516463,0.200209,7405727,.060944
KLC098,Stegostoma_fasciatum,unmerged.bam,120822991,0.123746,5197757,.043019
RLK004,Stegostoma_fasciatum,unmerged.bam,128855537,0.116137,5250060,.040743
RLK004,Tretioscincus_oriximinensis,merged.bam,22100016,0.395158,5858906,.265108
KLC098,Tretioscincus_oriximinensis,merged.bam,23377076,0.416992,6164814,.263711
RLK019,Tretioscincus_oriximinensis,merged.bam,23462768,0.405076,6013027,.256279
RLK034,Tretioscincus_oriximinensis,merged.bam,34189845,0.670037,9838756,.287768
RLK019,Tretioscincus_oriximinensis,unmerged.bam,134530020,2.30817,34438900,.255994
RLK034,Tretioscincus_oriximinensis,unmerged.bam,137824121,2.49501,37041933,.268762
RLK004,Tretioscincus_oriximinensis,unmerged.bam,146748647,2.53475,37824508,.257750
KLC098,Tretioscincus_oriximinensis,unmerged.bam,137422605,2.38172,35507391,.258381
